HDI,SL_UEM_TOTL_MA_ZS,SP_ADO_TFRT,SL_UEM_TOTL_FE_ZS,SL_TLF_ACTI_ZS,SP_DYN_LE00_MA_IN,SL_TLF_ACTI_1524_MA_ZS,SL_TLF_CACT_FE_ZS,SP_DYN_LE00_FE_IN,SL_EMP_VULN_FE_ZS,SL_TLF_CACT_MA_ZS
0.618,9.224,41.578,10.781,83.104,59.539,64.54,73.177,67.599,63.0867201067952,83.758
0.628,10.053,38.819,11.751,82.744,60.276,64.225,72.88,68.172,62.8602377219374,83.119
0.635,10.865,33.89,12.7,82.096,61.032,63.679,72.135,68.794,62.3408665280648,82.202
0.644,10.318,31.668,11.505,79.96,61.697,60.229,70.195,69.356,63.1084122347973,79.659
0.654,9.709,31.475,10.368,77.927,62.589,55.172,68.729,69.884,63.6801030654546,76.771
0.663,9.07,32.476,9.27,75.893,63.161,53.692,66.541,70.336,63.6553588987218,75.109
0.67,7.94,33.684,8.04,73.544,63.881,50.193,64.093,70.771,63.7011162312593,72.336
0.682,7.235,38.001,7.285,71.882,64.154,49.37,62.824,70.947,62.6358146322265,70.696
0.701,6.892,38.658,6.341,70.102,64.762,44.09,61.004,71.557,62.1094163144995,69.061
0.714,7.087,43.484,5.498,66.758,65.189,41.74,56.248,72.025,61.6112440965259,68.065
0.723,6.155,46.548,5.544,65.368,65.623,38.28,56.243,71.989,61.2969933682621,65.958
0.729,4.929,49.041,6.565,65.403,65.976,33.02,57.967,72.777,60.8338751750221,64.356
0.733,4.352,54.472,6.85,65.138,66.255,25.25,59.72,72.821,61.2956340654594,62.113
0.735,4.42,57.285,6.436,65.379,66.64,34.04,58.194,73.344,62.8065718834956,64.376
0.739,4.307,59.739,6.071,65.83,66.905,34.282,59.144,73.833,63.5726289230216,64.259
0.745,4.021,61.472,5.922,66.218,67.482,34.737,59.29,74.277,62.9269197908414,64.715
0.749,4.004,64.142,5.817,67.212,67.813,37.213,60.139,74.384,63.5310386496164,65.494
0.751,4.073,63.093,5.846,67.937,68.081,38.744,60.96,74.788,63.5502982482125,66.119
0.752,4.118,58.812,5.883,69.334,68.411,40.907,62.027,75.587,61.8413801669664,67.46
0.754,4.103,47.11,5.904,70.091,68.953,42.631,62.419,75.467,61.4725238444765,68.181
0.757,4.06,45.088,5.744,70.8,69.693,44.015,62.988,75.708,60.8642580808828,68.587
0.762,4.262,49.404,5.743,74.124,70.23,47.431,65.714,75.832,60.854349585902,71.553
0.722,6.097,41.797,8.394,73.303,62.986,46.885,64.728,70.998,60.3128748092354,70.574
0.738,5.121,40.079,6.961,74.299,65.646,47.375,65.648,73.287,59.7640755842345,71.047
0.757,12.23,67.021,12.1,76.001,65.766,63.391,65.161,73.592,9.58042962856527,80.089
0.762,13.913,76.276,15.848,76.695,67.421,63.989,65.693,73.859,8.26548415236988,80.758
0.762,12.451,75.772,13.031,77.366,67.371,64.582,66.217,73.9,9.72845658889591,81.367
0.765,12.608,69.088,15.241,78.005,67.626,65.17,66.685,74.025,10.9071403027775,81.913
0.773,10.021,67.363,11.757,78.259,67.459,64.818,67.077,74.038,11.9110531007258,81.918
0.778,8.618,63.053,14.7,78.468,67.409,64.457,67.417,73.989,12.8571199409679,81.931
0.775,8.32,60.951,11.381,78.799,67.667,63.745,68.103,74.424,10.2675430060037,81.802
0.776,5.696,55.841,9.877,78.655,68.19,64.491,67.458,74.671,10.5440889639312,82.16
0.784,5.777,49.427,9.312,79.178,68.571,63.142,68.695,74.904,11.0494162178711,81.76
0.788,6.306,47.804,8.266,79.351,68.826,62.784,68.998,75.187,10.0360536650092,81.636
0.79,6.722,47.952,7.033,79.472,68.794,62.642,69.151,75.371,9.1823558275871,81.572
0.792,8.528,46.222,9.621,79.576,68.922,62.508,69.269,75.483,10.4027151086434,81.533
0.793,9.961,44.582,11.806,79.492,69.078,62.909,68.886,75.666,10.4582812808206,81.658
0.795,9.332,43.987,11.156,79.471,69.183,63.034,68.701,75.705,11.9190751445087,81.662
