SL_EMP_VULN_FE_ZS,SL_EMP_VULN_MA_ZS,SL_TLF_ACTI_1524_FE_ZS,SL_TLF_ACTI_1524_MA_ZS,SL_TLF_ACTI_1524_ZS,SL_TLF_ACTI_FE_ZS,SL_TLF_ACTI_MA_ZS,SL_TLF_ACTI_ZS,SL_TLF_CACT_FE_ZS,SL_TLF_CACT_MA_ZS,SL_UEM_TOTL_FE_ZS,SL_UEM_TOTL_MA_ZS,SP_ADO_TFRT,SP_DYN_LE00_FE_IN,SP_DYN_LE00_MA_IN,desenv
63.9197208142538,55.491027897353,36.093,51.703,44.1,60.651,76.625,68.617,52.468,67.512,13.748,13.269,20.692,80.798,75.693,1
66.9354104396366,57.287900272231,27.81,44.133,36.162,56.199,73.685,64.927,48.821,65.254,11.49,14.81,20.909,80.703,75.73,1
61.7847851793456,54.7463447337042,19.173,35.564,27.534,50.702,69.825,60.254,43.66,61.268,13.371,17.669,20.865,80.781,75.786,1
58.1423791234085,54.3757974070101,20.462,37.132,28.936,51.298,72.565,61.926,43.818,63.107,15.476,19.853,20.942,81.013,76.114,1
56.2831885270961,56.5744713982762,23.095,39.228,31.266,55.422,74.13,64.775,46.989,64.08,17.115,17.245,20.276,81.183,76.404,1
55.419921875,56.2821269459138,26.415,36.743,31.633,58.861,74.956,66.911,49.763,64.913,14.477,16.148,18.171,81.377,76.639,1
53.6325442586852,54.5083887343656,25.341,37.707,31.583,58.353,76.967,67.665,49.609,66.572,12.511,14.452,16.585,81.504,76.873,1
51.6607110176118,52.5929747784341,27.84,43.358,35.669,60.386,77.671,69.035,51.284,67.373,11.876,12.625,15.58,81.608,77.037,1
51.0014495717983,51.3547374912083,30.02,43.034,36.584,62.31,78.42,70.373,52.815,67.859,11.324,11.584,15.013,81.666,77.168,1
50.8018090543856,51.1532892863161,27.511,39.919,33.769,59.49,75.221,67.363,50.089,64.694,12.536,13.065,14.672,79.676,74.632,1
50.011830282221,50.6563939918935,28.048,40.967,34.568,61.224,76.133,68.684,51.788,65.742,12.337,12.791,14.517,79.173,74.087,1
40.5161618792424,32.1450837697522,15.14,65.206,41.056,11.604,79.161,46.078,10.98,76.036,16.579,21.163,24.699,69.007,66.378,1
40.720161682254,32.2911392601057,15.192,65.11,40.997,11.736,79.331,46.237,11.101,76.194,20.629,24.91,24.131,69.307,66.238,1
40.7889360916955,32.3374794516252,15.334,65.441,41.189,11.887,79.91,46.606,11.241,76.77,23.182,26.663,22.844,69.202,66.263,1
40.7250882616992,32.2879401149579,15.444,65.609,41.278,12.058,80.371,46.921,11.401,77.222,25.56,28.052,22.005,69.169,65.621,1
40.6073146576118,32.1730692298425,15.428,65.233,41.024,12.25,80.363,47.004,11.58,77.195,30.506,32.034,19.071,69.518,65.489,1
40.4042718794154,31.9770250490171,15.358,64.74,40.709,12.466,80.451,47.154,11.763,77.084,28.222,28.334,16.71,70.4,67.134,1
40.1336335337041,31.7251655170529,14.768,63.301,39.697,12.648,80.045,47.046,11.895,76.345,26.169,25.319,13.331,70.925,67.49,1
39.8610767707353,31.5679482796665,14.178,61.869,38.687,12.823,79.53,46.878,12.035,75.641,27.332,26.783,11.238,71.262,67.744,1
39.0529712939567,31.0519125479755,13.614,60.465,37.684,12.989,78.857,46.622,12.184,74.97,28.705,28.516,10.14,71.414,68.703,1
37.9619928236586,30.3850317910043,13.05,59.072,36.686,13.158,78.181,46.367,12.335,74.294,29.718,29.778,9.302,71.949,69.068,1
37.4532265740742,30.1795351602805,12.49,57.688,35.696,13.331,77.5,46.11,12.489,73.617,27.758,27.225,8.797,72.197,69.498,1
34.7610372495057,29.4575397643397,11.93,56.317,34.715,13.507,76.834,45.864,12.646,72.935,26.996,25.716,8.632,72.559,69.943,1
32.1368960264755,28.6148180291874,11.373,54.961,33.744,13.685,76.172,45.621,12.805,72.245,25.436,23.426,8.838,72.25,70.344,1
30.6014379814707,28.2279999450223,10.832,53.614,32.787,13.865,75.486,45.365,12.966,71.55,18.204,17.553,8.96,72.812,70.735,1
29.0800617865955,27.8686902593477,10.299,52.283,31.844,14.049,74.806,45.116,13.131,70.852,17.191,14.926,9.214,73.075,71.069,1
27.9162605198025,27.9044725506285,9.788,50.961,30.918,14.235,74.091,44.849,13.299,70.153,15.147,11.744,9.376,73.379,71.313,1
27.0039462985493,28.2039745141518,9.289,49.662,30.008,14.425,73.375,44.582,13.471,69.454,18.959,12.823,9.455,73.735,71.499,1
26.1807749030355,28.6425301016718,8.809,48.375,29.116,14.618,72.642,44.309,13.647,68.754,17.565,10.136,9.095,74.071,71.841,1
25.6492737704211,29.4196469976149,8.347,47.102,28.243,14.816,71.894,44.029,13.825,68.047,18.152,8.594,9.635,74.864,72.413,1
24.8339006309878,29.941436247874,9.071,46.289,28.185,15.041,72.181,44.294,14.058,68.366,19.161,8.136,10.288,74.873,72.769,1
24.1276499277321,30.5659893521503,9.272,44.951,27.604,15.937,71.73,44.507,14.861,67.871,17.2,8.432,11.134,75.236,73.04,1
